category,source,target,note
人物,Pascual Orozco,帕斯夸尔·奥罗斯科,早期革命将领
人物,Pedro Salmerón Sanginés,佩德罗·萨尔梅隆·桑希内斯,合作者
人物,Plutarco Elías Calles,普鲁塔尔科·埃利亚斯·卡列斯,最高领袖
人物,Porfirio Díaz,波菲里奥·迪亚斯,墨西哥独裁总统1876-1911
人物,PRI,革命制度党,Partido Revolucionario Institucional
人物,Roberto Madrazo,罗伯托·马德拉佐,PRI总统候选人2006年
关键术语,arbitraje interno,内部仲裁机制,
关键术语,cardenismo,卡德纳斯主义,拉萨罗·卡德纳斯推行的左翼民族主义纲领
关键术语,caudillismo,考迪罗主义,
关键术语,caudillo,考迪罗,
关键术语,caudillo/caudillismo,考迪罗/考迪罗主义,墨西哥传统强人政治模式
关键术语,clases medias,中产阶级,
关键术语,Comité Ejecutivo Nacional,全国执行委员会,
关键术语,corporaciones,行业团体,
关键术语,corporativismo,职团主义,PRI通过职团部门控制社会的机制
关键术语,corporativismo clientelar,庇护式社团主义,
关键术语,criollo,克里奥尔人,
关键术语,élite tecnocrática,技术官僚精英,
关键术语,gabinete de compromiso,妥协内阁,
关键术语,interpretación teleológica,目的论式解读,
关键术语,ismo,主义,
关键术语,La Corriente Democrática,民主潮流,80年代末从PRI分裂的内部派系
关键术语,maquinaria electoral,选举机器,
关键术语,maximato,最高领袖时期,卡列斯幕后统治时期1928-1935
关键术语,mestizaje,种族文化融合,
关键术语,militancia,党籍,
关键术语,no reelección,不连任原则,
关键术语,partido del Estado,国家党,
关键术语,partido de masas,群众党,
关键术语,partido instrumental,工具性政党,
关键术语,personalismo,个人独断,
关键术语,posrevolución,革命后时期,
关键术语,priismo,革命制度党体制,
关键术语,reforma electoral,选举改革,
关键术语,reforma salinista,萨利纳斯改革,卡洛斯·萨利纳斯总统推行的改革
关键术语,regreso condicionado,有条件的回归,
关键术语,sexenio,六年任期,
关键术语,sistema electoral no competitivo,非竞争性选举制度,
关键术语,tecnocracia,技术官僚,
历史时期,Maximato,最高领袖时期,1928-1934年卡列斯幕后统治时期
地名,Camino al Ajusco,阿胡斯科路,墨西哥城南部道路
地名,México D.F.,墨西哥城D.F.,联邦区
地名,Nueva España,新西班牙,西班牙殖民地
地名,Pedregal de Santa Teresa,圣特雷莎石区,墨西哥城社区
地名,San Ángel,圣安赫尔,奥夫雷贡1928年遇刺地点
地名,Tenochtitlan,特诺奇蒂特兰,阿兹特克首都
政党,PNR,国民革命党,1929年成立原称
政党,PRI,革命制度党,1946年后使用至今的名称
政党,PRM,墨西哥革命党,1938-1946期间名称
政治派系,obregonistas,奥夫雷贡派,
组织,CNC,全国农民联合会,农民职团组织
组织,CNOP,全国人民组织联合会,人民职团组织
组织,cristeros,基督军,1926-1929年天主教叛乱武装
组织,CTM,墨西哥工人联合会,工人职团组织
组织机构,El Colegio de México,墨西哥学院,出版社
组织机构,Partido Nacional Revolucionario (PNR),国民革命党,PRI前身 1929年成立
组织机构,PRI,革命制度党,Partido Revolucionario Institucional
组织机构,PRM,墨西哥革命党,Partido de la Revolución Mexicana
